Year,Month,"Nuclear Generating Units, Total Operable Units","Nuclear Generating Units, Net Summer Capacity",Nuclear Electricity Net Generation,Nuclear Share of Electricity Net Generation,"Nuclear Generating Units, Capacity Factor"
1973,January,Not Available,14.533,6246,3.9,57.8
1973,February,Not Available,14.533,5928,4.1,60.7
1973,March,Not Available,15.314,6649,4.5,58.4
1973,April,Not Available,15.314,5876,4.2,53.4
1973,May,Not Available,16.174,5697,3.9,47.3
1973,June,Not Available,18.729,6784,4.2,50.3
1973,July,Not Available,18.729,6960,4.0,50.0
1973,August,Not Available,19.205,7785,4.4,54.5
1973,September,Not Available,19.205,7862,5.0,56.9
1973,October,Not Available,20.271,7518,4.9,49.8
1973,November,Not Available,20.271,8142,5.5,55.8
1973,December,42,22.683,8031,5.2,47.6
1974,January,Not Available,22.683,7603,4.8,45.0
1974,February,Not Available,23.735,8116,5.7,50.9
1974,March,Not Available,23.675,8777,5.8,49.8
1974,April,Not Available,24.201,7129,5.0,41.0
1974,May,Not Available,25.461,6562,4.3,34.6
1974,June,Not Available,26.237,7080,4.5,37.5
1974,July,Not Available,26.237,10210,5.7,52.3
1974,August,Not Available,28.139,12333,7.1,58.9
1974,September,Not Available,30.032,11010,7.2,50.9
1974,October,Not Available,30.905,10864,7.1,47.7
1974,November,Not Available,31.356,11004,7.3,48.7
1974,December,55,31.867,13288,8.3,56.0
1975,January,Not Available,32.692,13938,8.5,57.3
1975,February,Not Available,34.516,12733,8.6,54.9
1975,March,Not Available,34.516,14882,9.6,58.0
1975,April,Not Available,35.306,13327,9.1,52.4
1975,May,Not Available,35.306,13764,9.0,52.4
1975,June,Not Available,35.306,12744,7.8,50.1
1975,July,Not Available,35.306,15372,8.7,58.5
1975,August,Not Available,35.306,15880,8.8,60.5
1975,September,Not Available,35.306,14396,9.3,56.6
1975,October,Not Available,35.306,14626,9.4,55.6
1975,November,Not Available,36.163,14164,9.3,54.4
1975,December,57,37.267,16679,9.8,60.2
1976,January,Not Available,37.267,16099,9.0,58.1
1976,February,Not Available,37.267,14377,9.2,55.4
1976,March,Not Available,37.267,13993,8.5,50.5
1976,April,Not Available,38.232,10982,7.2,40.0
1976,May,Not Available,39.071,11929,7.6,41.0
1976,June,Not Available,39.881,15757,9.1,54.9
1976,July,Not Available,39.881,17709,9.5,59.7
1976,August,Not Available,39.818,18363,9.8,62.0
1976,September,Not Available,40.884,17290,10.5,58.7
1976,October,Not Available,40.884,17355,10.6,57.0
1976,November,Not Available,40.884,16134,9.5,54.8
1976,December,63,43.822,21115,11.5,64.8
1977,January,Not Available,44.559,22152,11.3,66.8
1977,February,Not Available,44.559,19601,12.0,65.5
1977,March,Not Available,44.559,20672,12.2,62.4
1977,April,Not Available,44.559,19867,12.6,62.0
1977,May,Not Available,44.559,20599,12.1,62.1
1977,June,Not Available,44.559,21517,11.9,67.1
1977,July,Not Available,44.559,21825,11.0,65.8
1977,August,Not Available,46.303,22750,11.6,66.2
1977,September,Not Available,46.303,19630,11.1,59.0
1977,October,Not Available,46.303,19041,11.4,55.3
1977,November,Not Available,46.303,19458,11.6,58.5
1977,December,67,46.303,23771,12.9,69.0
1978,January,Not Available,46.303,25833,13.0,75.0
1978,February,Not Available,46.303,21833,12.6,70.2
1978,March,Not Available,47.403,22449,12.9,63.7
1978,April,Not Available,49.198,17580,11.0,49.7
1978,May,Not Available,49.198,20416,11.6,55.8
1978,June,Not Available,49.198,22185,11.8,62.6
1978,July,Not Available,49.198,25007,12.3,68.3
1978,August,Not Available,49.198,25599,12.4,69.9
1978,September,Not Available,49.966,22189,11.9,61.7
1978,October,Not Available,49.966,22997,13.1,60.9
1978,November,Not Available,49.966,24901,14.1,69.2
1978,December,70,50.824,25415,13.2,67.2
1979,January,Not Available,50.627,27792,13.2,73.8
1979,February,Not Available,50.627,25911,13.9,76.2
1979,March,Not Available,49.747,24335,13.3,65.7
1979,April,Not Available,49.747,18418,10.8,51.6
1979,May,Not Available,49.747,15025,8.4,40.6
1979,June,Not Available,49.747,16065,8.6,44.9
1979,July,Not Available,49.747,20825,10.3,56.3
1979,August,Not Available,49.747,24204,11.8,65.4
1979,September,Not Available,49.747,21804,12.0,61.0
1979,October,Not Available,49.747,20934,11.6,56.5
1979,November,Not Available,49.747,19255,10.8,53.9
1979,December,69,49.747,20586,10.9,55.6
1980,January,Not Available,49.747,19746,9.9,53.4
1980,February,Not Available,49.747,19277,10.2,55.7
1980,March,Not Available,49.747,20039,10.7,54.1
1980,April,Not Available,49.747,18794,11.1,52.5
1980,May,Not Available,49.747,18385,10.4,49.7
1980,June,Not Available,49.747,18322,9.7,51.2
1980,July,Not Available,50.895,21024,9.7,55.5
1980,August,Not Available,51.81,24333,11.3,63.1
1980,September,Not Available,51.81,23572,12.3,63.2
1980,October,Not Available,51.81,24510,13.7,63.5
1980,November,Not Available,51.81,20984,11.7,56.3
1980,December,71,51.81,22130,11.3,57.4
1981,January,Not Available,51.81,23779,11.5,61.7
1981,February,Not Available,51.81,21595,12.0,62.0
1981,March,Not Available,51.81,22004,11.8,57.1
1981,April,Not Available,51.81,20646,11.9,55.4
1981,May,Not Available,52.638,19723,11.1,50.4
1981,June,Not Available,53.744,21166,10.4,54.7
1981,July,Not Available,53.744,23080,10.5,57.7
1981,August,Not Available,53.744,26946,12.8,67.4
1981,September,Not Available,54.894,24398,13.0,61.7
1981,October,Not Available,54.894,20556,11.3,50.3
1981,November,Not Available,54.894,22783,13.0,57.6
1981,December,75,56.042,25997,13.3,62.3
1982,January,Not Available,56.042,25678,12.2,61.6
1982,February,Not Available,56.042,20188,11.2,53.6
1982,March,Not Available,56.042,22755,12.1,54.6
1982,April,Not Available,56.042,21785,12.6,54.1
1982,May,Not Available,56.042,21639,12.2,51.9
1982,June,Not Available,56.042,24026,12.9,59.5
1982,July,Not Available,56.042,25467,12.1,61.1
1982,August,Not Available,56.042,24986,12.1,59.9
1982,September,Not Available,58.16,25391,14.0,60.6
1982,October,Not Available,58.1,23248,13.4,53.7
1982,November,Not Available,60.035,23235,13.4,53.8
1982,December,78,60.035,24376,13.2,54.6
1983,January,Not Available,59.532,25073,12.8,56.6
1983,February,Not Available,59.632,22198,12.9,55.4
1983,March,Not Available,59.632,23890,13.1,53.9
1983,April,Not Available,59.658,22335,13.1,52.1
1983,May,Not Available,59.883,22051,12.6,49.5
1983,June,Not Available,61.686,24152,12.6,54.4
1983,July,Not Available,61.23,25602,11.6,56.2
1983,August,Not Available,61.44,26201,11.4,57.3
1983,September,Not Available,62.227,25007,12.8,55.8
1983,October,Not Available,62.876,25797,14.1,55.1
1983,November,Not Available,62.809,25010,13.7,55.3
1983,December,81,63.009,26361,12.4,56.5
1984,January,Not Available,63.009,29313,13.5,62.5
1984,February,Not Available,63.009,28436,15.0,64.8
1984,March,Not Available,64.057,27345,13.6,57.4
1984,April,Not Available,65.157,24231,13.4,51.7
1984,May,Not Available,65.157,25867,13.4,53.4
1984,June,Not Available,66.207,25299,12.0,53.1
1984,July,Not Available,66.207,28284,12.8,57.4
1984,August,Not Available,67.446,29493,12.8,58.8
1984,September,Not Available,67.446,29146,14.9,60.0
1984,October,Not Available,68.566,24774,13.0,48.6
1984,November,Not Available,69.652,24575,12.9,49.0
1984,December,87,69.652,30872,15.4,59.6
1985,January,Not Available,70.675,36186,15.9,68.8
1985,February,Not Available,71.795,30812,15.5,63.9
1985,March,Not Available,72.899,31041,15.9,57.2
1985,April,Not Available,72.899,26458,14.3,50.5
1985,May,Not Available,72.899,28697,14.6,52.9
1985,June,Not Available,75.275,30837,15.0,56.9
1985,July,Not Available,76.354,35184,15.5,61.9
1985,August,Not Available,78.478,34812,15.4,59.6
1985,September,Not Available,78.478,34508,17.0,61.1
1985,October,Not Available,78.478,31205,16.0,53.4
1985,November,Not Available,79.397,30166,15.7,52.8
1985,December,96,79.397,33782,15.4,57.2
1986,January,Not Available,80.604,36219,16.6,60.4
1986,February,Not Available,80.604,32721,17.0,60.4
1986,March,Not Available,80.604,30773,15.6,51.3
1986,April,Not Available,81.863,30477,16.4,51.8
1986,May,Not Available,82.995,31924,16.2,51.7
1986,June,Not Available,82.995,31334,14.6,52.4
1986,July,Not Available,84.048,35894,14.8,57.4
1986,August,Not Available,84.048,37483,16.6,59.9
1986,September,Not Available,84.048,36593,17.7,60.5
1986,October,Not Available,84.048,36214,18.3,57.8
1986,November,Not Available,85.241,34944,17.8,56.9
1986,December,101,85.241,39463,18.5,62.2
1987,January,Not Available,87.248,39975,17.9,61.6
1987,February,Not Available,87.248,36598,18.8,62.4
1987,March,Not Available,88.446,37290,18.4,56.7
1987,April,Not Available,89.33,33518,17.7,52.2
1987,May,Not Available,89.33,34320,16.6,51.6
1987,June,Not Available,89.33,36560,16.2,56.8
