Year,Month,nuclear_generation_twh,share_of_generation_pct
2019,01,242.4,11.1
2019,02,219.65,10.96
2019,03,232.28,11.04
2019,04,215.0,10.87
2019,05,218.44,10.46
2019,06,217.17,10.16
2019,07,229.49,9.78
2019,08,229.64,9.9
2019,09,216.81,10.13
2019,10,217.53,10.45
2019,11,222.62,10.65
2019,12,240.5,10.77
2020,01,237.02,11.29
2020,02,215.82,10.77
2020,03,224.75,11.04
2020,04,207.36,11.09
2020,05,210.65,10.53
2020,06,206.45,9.69
2020,07,213.8,9.15
2020,08,212.08,8.94
2020,09,203.93,9.43
2020,10,210.44,9.95
2020,11,218.14,10.32
2020,12,238.92,10.21
2021,01,236.76,10.47
2021,02,211.71,10.01
2021,03,229.56,10.28
2021,04,209.36,9.96
2021,05,217.18,9.93
2021,06,219.56,9.59
2021,07,231.04,9.35
2021,08,229.93,9.36
2021,09,222.5,9.93
2021,10,222.84,10.18
2021,11,225.85,10.34
2021,12,249.34,10.57
2022,01,244.78,10.44
2022,02,216.01,9.86
2022,03,221.18,9.65
2022,04,199.85,9.33
2022,05,204.18,9.14
2022,06,201.26,8.51
2022,07,215.44,8.4
2022,08,217.75,8.45
2022,09,204.17,8.95
2022,10,204.99,9.35
2022,11,212.9,9.68
2022,12,233.11,9.65
2023,01,233.88,10.04
2023,02,209.44,9.56
2023,03,218.4,9.39
2023,04,202.55,9.37
2023,05,204.83,9.02
2023,06,209.84,8.87
2023,07,224.4,8.52
2023,08,224.77,8.48
2023,09,215.14,8.99
2023,10,215.73,9.34
2023,11,217.07,9.4
2023,12,236.49,9.51
2024,01,236.02,9.48
2024,02,218.63,9.4
2024,03,218.62,9.14
